bodyId	NT	NT_prob
11609	acetylcholine	0.85441387
11628	gaba	0.7997249
11641	glutamate	0.80984086
11658	acetylcholine	0.7849284
11665	acetylcholine	0.80869126
11669	unclear	0.3153212
11670	unclear	0.9712991
11684	unclear	0.41770503
11689	glutamate	0.66454804
11690	acetylcholine	0.76393646
11696	acetylcholine	0.79466647
11715	octopamine	0.6550353
11716	octopamine	0.68462104
11719	unclear	0.0
11727	unclear	
11762	unclear	
11769	acetylcholine	0.82733434
11773	unclear	0.45753124
11802	gaba	0.8237829
11806	dopamine	0.8342032
11807	glutamate	0.63736033
11812	acetylcholine	0.74295485
11819	unclear	0.0
11842	unclear	0.85718095
11843	acetylcholine	0.83575344
11852	glutamate	0.70417064
11853	glutamate	0.78772974
11855	octopamine	0.68316513
11858	octopamine	0.65985304
11887	unclear	0.64978063
11901	unclear	0.46513566
11903	unclear	
11905	unclear	
11907	unclear	0.92391866
11911	unclear	0.4316309
11918	acetylcholine	0.8036429
11926	unclear	0.72879803
11939	serotonin	0.6866465
11947	glutamate	0.8109044
11953	unclear	0.7305064
11958	unclear	
11959	unclear	
11962	unclear	
11981	gaba	0.7796442
11999	unclear	0.4756356
12011	unclear	0.45640483
12013	glutamate	0.85165393
12021	glutamate	0.58703786
12037	unclear	
12041	unclear	
12047	glutamate	0.62793624
12048	unclear	0.4704136
12067	dopamine	0.8137909
12070	unclear	0.616087
12078	glutamate	0.5672829
12087	unclear	0.40616855
12094	unclear	0.92504674
12099	glutamate	0.6217826
12105	acetylcholine	0.88100994
12112	acetylcholine	0.9190404
12125	unclear	
12140	glutamate	0.79391736
12145	acetylcholine	0.79715556
12149	gaba	0.83087975
12153	unclear	
12172	unclear	0.832912
12174	gaba	0.7963622
12181	unclear	0.0
12193	glutamate	0.51013666
12200	glutamate	0.51038575
12202	unclear	0.9124325
12204	glutamate	0.7111601
12211	unclear	0.8513636
12235	acetylcholine	0.92294735
12236	unclear	0.8570286
12240	gaba	0.84681684
12254	unclear	0.4758588
12289	unclear	
12295	unclear	0.83254206
12328	acetylcholine	0.8729522
12347	unclear	0.0
12382	acetylcholine	0.8005997
12398	dopamine	0.9230782
12415	gaba	0.8096836
12416	acetylcholine	0.7943925
12423	unclear	
12428	acetylcholine	0.9120064
12436	glutamate	0.5421531
12439	acetylcholine	0.8468811
12440	acetylcholine	0.6848807
12444	unclear	
12456	gaba	0.8349603
12468	gaba	0.7537974
12472	unclear	0.0
12475	gaba	0.7827619
12505	glutamate	0.66764814
12517	unclear	0.0
12521	unclear	0.3880553
12528	glutamate	0.8480704
12538	glutamate	0.62593234
12540	unclear	0.4338012
12556	unclear	
12561	unclear	
12586	acetylcholine	0.85824066
12591	glutamate	0.7634829
12629	unclear	0.0
12630	serotonin	0.81819457
12632	unclear	0.47869977
12638	gaba	0.7992524
12639	acetylcholine	0.8917282
12640	unclear	0.6687415
12643	gaba	0.78393024
12650	unclear	0.0
12662	unclear	0.79070455
12686	unclear	0.44680777
12688	unclear	0.43622702
12696	unclear	0.0
12697	acetylcholine	0.8891576
12704	unclear	0.49784204
12712	unclear	0.9712991
12713	gaba	0.73738337
12718	gaba	0.82948613
12719	glutamate	0.6342869
12727	glutamate	0.5245838
12737	unclear	0.8971152
12740	acetylcholine	0.86309385
12748	glutamate	0.8531275
12760	glutamate	0.8239873
12764	acetylcholine	0.88750595
12799	glutamate	0.72672087
12805	glutamate	0.68105656
12817	unclear	
12821	unclear	0.0
12823	unclear	0.48923814
12856	unclear	
12861	serotonin	0.83720374
12863	glutamate	0.5296262
12872	glutamate	0.51088876
12884	glutamate	0.58502454
12912	gaba	0.7974759
12916	unclear	0.0
12927	glutamate	0.8568675
12931	gaba	0.7748109
12947	unclear	
12957	acetylcholine	0.88544554
12971	gaba	0.8379005
12973	acetylcholine	0.9011485
12979	unclear	0.9712991
12986	glutamate	0.5463827
12987	glutamate	0.62745667
12989	unclear	
13039	serotonin	0.82299125
13040	acetylcholine	0.88775223
13051	gaba	0.7942208
13076	acetylcholine	0.7482765
13080	unclear	
13090	unclear	0.4206169
13096	unclear	
13113	gaba	0.85334617
13120	unclear	0.58817434
13174	unclear	0.5363583
13190	acetylcholine	0.85524404
13196	acetylcholine	0.9148069
13200	unclear	0.0
13208	unclear	
13211	gaba	0.8494426
13214	glutamate	0.8226534
13229	unclear	
13255	unclear	
13260	glutamate	0.6723333
13265	glutamate	0.70889455
13285	acetylcholine	0.89153755
13298	acetylcholine	0.8513447
13300	unclear	
13326	acetylcholine	0.72226197
13328	unclear	0.60576105
13333	gaba	0.8297903
13336	unclear	
13342	unclear	
13349	unclear	
13362	unclear	0.44507253
13376	gaba	0.7472112
13387	unclear	0.6750501
13405	unclear	0.0
13447	gaba	0.866808
13457	acetylcholine	0.61842537
13462	gaba	0.84933966
13473	acetylcholine	0.83938503
13494	gaba	0.8873051
13497	unclear	0.9712991
13500	unclear	
13506	gaba	0.8901641
13511	gaba	0.886008
13530	glutamate	0.67932075
13532	acetylcholine	0.8760426
13547	acetylcholine	0.8904932
13563	unclear	
13565	acetylcholine	0.89665085
13569	unclear	0.9712991
13588	gaba	0.7614302
13594	gaba	0.80407876
13617	gaba	0.8921356
13623	acetylcholine	0.807394
13634	acetylcholine	0.7836678
13663	acetylcholine	0.8675123
13671	gaba	0.78576696
13673	gaba	0.8156543
13675	glutamate	0.5006485
13678	gaba	0.89206356
13679	unclear	0.5400422
13707	unclear	0.7832808
13727	unclear	0.7063993
13736	gaba	0.7525627
13756	unclear	
13776	gaba	0.8299102
13796	acetylcholine	0.9176928
13797	gaba	0.7342433
13802	octopamine	0.5474441
13808	gaba	0.8513672
13830	glutamate	0.67216676
13838	glutamate	0.566388
13842	acetylcholine	0.6597426
13847	gaba	0.87211865
13849	gaba	0.797628
13850	gaba	0.73530525
13869	glutamate	0.5670386
13874	acetylcholine	0.77812326
13881	acetylcholine	0.80330837
13912	glutamate	0.61567056
13926	gaba	0.8225798
13931	acetylcholine	0.91449916
13933	gaba	0.88442373
13938	glutamate	0.58179086
13941	unclear	0.6059288
13957	acetylcholine	0.7540607
13965	glutamate	0.7570514
13982	serotonin	0.8184316
13997	gaba	0.83245397
14002	unclear	0.9712991
14005	unclear	
14006	glutamate	0.6053611
14027	glutamate	0.6668126
14028	glutamate	0.6090125
14066	unclear	
14079	gaba	0.8351955
14080	glutamate	0.6261977
14083	gaba	0.8514578
14104	glutamate	0.6568366
14107	glutamate	0.6714765
14118	gaba	0.8207182
14129	glutamate	0.5726454
14142	glutamate	0.5636317
14179	unclear	0.712545
14197	gaba	0.8673677
14198	gaba	0.81806105
14199	acetylcholine	0.8692055
14207	unclear	0.38821775
14233	unclear	0.65727705
14245	gaba	0.785082
14258	glutamate	0.82191193
14287	unclear	0.0
14299	gaba	0.834826
14300	acetylcholine	0.9157465
14304	unclear	0.0
14311	unclear	
14325	unclear	0.6505299
14356	unclear	0.7533244
14370	unclear	0.8498867
14374	glutamate	0.6091996
14380	gaba	0.8311953
14416	unclear	0.662069
14422	glutamate	0.5715222
14443	glutamate	0.6279841
14459	glutamate	0.77912205
14462	gaba	0.76122844
14463	unclear	
14465	acetylcholine	0.80934954
14470	unclear	
14479	glutamate	0.73990184
14485	glutamate	0.799311
14490	unclear	
14499	acetylcholine	0.90159667
14512	glutamate	0.7525321
14528	gaba	0.7766293
14531	glutamate	0.6271931
14544	gaba	0.8890211
14550	unclear	0.3245303
14571	gaba	0.8541733
14572	unclear	
14581	gaba	0.78932756
14586	unclear	0.48847649
14595	gaba	0.8571448
14599	gaba	0.85682243
14613	glutamate	0.57737195
14636	unclear	0.47245634
14638	glutamate	0.83357596
14640	unclear	
14645	glutamate	0.54531306
14646	acetylcholine	0.81925654
14647	gaba	0.86637264
14650	unclear	0.9712991
14654	unclear	0.0
14671	gaba	0.753918
14676	gaba	0.8670672
14694	dopamine	0.5381151
14697	unclear	0.5713524
14706	glutamate	0.7401651
14709	gaba	0.7667545
14754	acetylcholine	0.8095435
14759	gaba	0.88196075
14778	gaba	0.82231826
14779	unclear	
14799	unclear	
14800	gaba	0.8179747
14812	glutamate	0.5363167
14819	unclear	0.9712991
14822	acetylcholine	0.8174133
14823	unclear	0.9712991
14828	unclear	
