bodyId	NT	NT_prob
10000	acetylcholine	0.51421195
10002	acetylcholine	0.45962852
10003	acetylcholine	0.64157057
10004	gaba	0.823311
10007	acetylcholine	0.8859358
10010	acetylcholine	0.939965
10012	acetylcholine	0.8552567
10013	glutamate	0.33568102
10016	acetylcholine	0.9192542
10017	glutamate	0.3241819
10018	acetylcholine	0.9314761
10019	glutamate	0.9238136
10021	acetylcholine	0.815677
10022	gaba	0.47595388
10023	glutamate	0.3727258
10024	acetylcholine	0.9272885
10025	gaba	0.90272784
10031	gaba	0.8795027
10039	acetylcholine	0.7317575
10042	acetylcholine	0.50947803
10048	acetylcholine	0.93831533
10051	gaba	0.8636643
10052	gaba	0.82141596
10053	gaba	0.88655645
10054	gaba	0.7944465
10056	gaba	0.4687187
10057	acetylcholine	0.772704
10058	gaba	0.7488881
10059	gaba	0.87195545
10060	glutamate	0.862236
10061	acetylcholine	0.9150179
10062	glutamate	0.78076595
10063	acetylcholine	0.88312227
10065	gaba	0.8687721
10066	gaba	0.811723
10068	glutamate	0.47380736
10070	gaba	0.90107095
10071	gaba	0.67420876
10072	acetylcholine	0.93369645
10075	acetylcholine	0.9508383
10076	gaba	0.91159225
10082	gaba	0.8720197
10083	gaba	0.5960082
10084	acetylcholine	0.9152454
10085	gaba	0.81958365
10086	gaba	0.9014057
10087	acetylcholine	0.8504202
10089	acetylcholine	0.93286186
10090	acetylcholine	0.68565655
10091	acetylcholine	0.9081155
10093	acetylcholine	0.9575195
10095	gaba	0.892301
10096	gaba	0.5406876
10097	gaba	0.9310596
10098	glutamate	0.944986
10099	acetylcholine	0.9555604
10101	acetylcholine	0.7180118
10102	gaba	0.78247046
10103	gaba	0.91207445
10104	gaba	0.64200485
10105	acetylcholine	0.31264237
10107	gaba	0.9551557
10108	gaba	0.74461883
10109	gaba	0.5943931
10110	glutamate	0.55161124
10111	acetylcholine	0.9131434
10112	acetylcholine	0.8135411
10113	acetylcholine	0.8665429
10114	gaba	0.5714881
10115	glutamate	0.39408794
10116	gaba	0.9112281
10117	gaba	0.90943587
10118	acetylcholine	0.8704741
10119	gaba	0.5700608
10120	glutamate	0.46649638
10121	acetylcholine	0.8121946
10122	acetylcholine	0.85247594
10124	glutamate	0.52883714
10125	gaba	0.8568315
10126	acetylcholine	0.8850437
10127	gaba	0.79858583
10133	gaba	0.86921936
10134	gaba	0.7981289
10136	gaba	0.9200947
10137	glutamate	0.9564407
10138	acetylcholine	0.9120277
10139	gaba	0.8864202
10140	gaba	0.7556537
10141	gaba	0.9256931
10142	gaba	0.80630136
10143	gaba	0.74923766
10144	gaba	0.8132456
10145	glutamate	0.35392952
10146	gaba	0.91006255
10147	glutamate	0.5333862
10148	acetylcholine	0.87187177
10149	acetylcholine	0.8532554
10150	gaba	0.8418761
10151	acetylcholine	0.4594079
10152	acetylcholine	0.9239868
10153	gaba	0.8188667
10154	gaba	0.7297456
10155	glutamate	0.5351361
10156	gaba	0.85820943
10157	acetylcholine	0.8369424
10158	acetylcholine	0.6903333
10159	gaba	0.79807335
10160	gaba	0.9192107
10163	acetylcholine	0.94770783
10164	gaba	0.88785887
10165	acetylcholine	0.96486944
10166	acetylcholine	0.7926133
10167	glutamate	0.9224168
10168	gaba	0.8864312
10169	gaba	0.85099924
10172	glutamate	0.48772353
10173	acetylcholine	0.8671124
10174	gaba	0.8342191
10176	gaba	0.9112417
10177	acetylcholine	0.74749607
10179	acetylcholine	0.8861601
10180	glutamate	0.9523655
10181	acetylcholine	0.74135554
10182	acetylcholine	0.8676944
10183	acetylcholine	0.5282222
10184	gaba	0.81135243
10185	glutamate	0.51040196
10186	gaba	0.7358176
10187	acetylcholine	0.7154373
10188	gaba	0.8067489
10190	gaba	0.44137743
10191	gaba	0.78974575
10192	gaba	0.7946126
10193	glutamate	0.94572055
10194	glutamate	0.72690386
10195	gaba	0.6858446
10196	gaba	0.8273349
10197	glutamate	0.3648795
10198	glutamate	0.942323
10199	gaba	0.71336
10202	acetylcholine	0.68074006
10203	glutamate	0.88410825
10205	acetylcholine	0.78939855
10206	acetylcholine	0.913974
10207	gaba	0.80456096
10208	gaba	0.81321025
10209	glutamate	0.9384388
10210	gaba	0.58544165
10211	acetylcholine	0.91143245
10213	gaba	0.7828769
10214	acetylcholine	0.9723359
10215	gaba	0.69282854
10217	gaba	0.57114106
10220	acetylcholine	0.92795306
10221	gaba	0.8733594
10222	glutamate	0.3692267
10223	gaba	0.852417
10226	acetylcholine	0.88012385
10227	gaba	0.9204512
10228	glutamate	0.557754
10229	gaba	0.8787433
10230	glutamate	0.65537095
10231	acetylcholine	0.951121
10232	acetylcholine	0.84855986
10233	gaba	0.87545544
10234	gaba	0.76618487
10235	gaba	0.64011794
10236	gaba	0.79889673
10237	acetylcholine	0.97232014
10239	acetylcholine	0.6488548
10240	gaba	0.7204085
10241	gaba	0.8684603
10242	gaba	0.6913916
10243	glutamate	0.9656294
10244	acetylcholine	0.5418681
10245	gaba	0.81717825
10246	gaba	0.91547775
10247	acetylcholine	0.44528472
10249	acetylcholine	0.97334987
10250	gaba	0.41712403
10251	acetylcholine	0.54586643
10252	gaba	0.82794154
10253	gaba	0.7884559
10254	gaba	0.78379947
10255	acetylcholine	0.87397677
10256	gaba	0.87122256
10257	gaba	0.82979023
10258	gaba	0.86470413
10259	gaba	0.8064434
10262	acetylcholine	0.84903204
10263	gaba	0.91573185
10264	acetylcholine	0.5673444
10265	gaba	0.8893201
10266	gaba	0.8269993
10267	acetylcholine	0.8442877
10268	gaba	0.85274106
10269	acetylcholine	0.8356286
10271	gaba	0.88177305
10273	gaba	0.91087854
10274	acetylcholine	0.8153944
10275	glutamate	0.34261113
10276	acetylcholine	0.9284449
10278	gaba	0.87029773
10279	acetylcholine	0.9269415
10280	gaba	0.8635028
10281	glutamate	0.53347385
10282	acetylcholine	0.9043302
10283	gaba	0.8459465
10284	acetylcholine	0.8347446
10286	glutamate	0.5218715
10288	gaba	0.8972807
10289	gaba	0.9065455
10291	acetylcholine	0.934922
10293	gaba	0.83475626
10294	acetylcholine	0.8717053
10295	acetylcholine	0.945588
10296	acetylcholine	0.73017365
10297	acetylcholine	0.80702645
10298	acetylcholine	0.78234893
10299	acetylcholine	0.8771926
10300	acetylcholine	0.8393832
10301	gaba	0.763807
10302	acetylcholine	0.94046277
10303	acetylcholine	0.9453309
10304	gaba	0.7703348
10305	glutamate	0.8342567
10306	glutamate	0.9425693
10307	acetylcholine	0.9311922
