bodyId	NT	NT_prob
10001	acetylcholine	0.500352144241333
10002	acetylcholine	0.9555962085723877
10003	gaba	0.8793949484825134
10005	gaba	0.8351423740386963
10006	acetylcholine	0.9038543701171875
10009	gaba	0.8604791760444641
10010	acetylcholine	0.556980550289154
10011	octopamine	0.9028908610343933
10012	acetylcholine	0.8595020174980164
10013	glutamate	0.722424328327179
10015	acetylcholine	0.7684217691421509
10016	acetylcholine	0.9064534902572632
10017	unclear	0.4748576879501343
10018	gaba	0.8825406432151794
10019	acetylcholine	0.9373188018798828
10020	unclear	0.4911491572856903
10021	acetylcholine	0.9726412892341614
10023	acetylcholine	0.8781082630157471
10025	acetylcholine	0.8925136923789978
10026	acetylcholine	0.9426589012145996
10027	gaba	0.870206892490387
10029	glutamate	0.819912314414978
10030	acetylcholine	0.9399555921554565
10031	gaba	0.8681548237800598
10032	gaba	0.820857584476471
10033	gaba	0.8808481693267822
10034	acetylcholine	0.9071005582809448
10035	gaba	0.742734968662262
10037	acetylcholine	0.7302377223968506
10038	acetylcholine	0.9495238065719604
10039	acetylcholine	0.9534796476364136
10040	glutamate	0.7214375734329224
10041	octopamine	0.8735867738723755
10042	glutamate	0.7207849025726318
10043	gaba	0.7735695838928223
10044	acetylcholine	0.9458829164505005
10045	acetylcholine	0.9526461958885193
10046	acetylcholine	0.9633318185806274
10047	unclear	0.4894240200519562
10048	acetylcholine	0.8893195986747742
10049	acetylcholine	0.9158838391304016
10050	serotonin	0.8074899911880493
10051	gaba	0.8914055228233337
10052	gaba	0.8886842131614685
10053	glutamate	0.8266242742538452
10054	acetylcholine	0.957427442073822
10056	acetylcholine	0.9557243585586548
10057	gaba	0.7975437045097351
10059	acetylcholine	0.8047947287559509
10060	acetylcholine	0.9522072672843933
10061	gaba	0.8728065490722656
10063	acetylcholine	0.733788013458252
10065	acetylcholine	0.9628559947013855
10066	gaba	0.9059095978736877
10067	acetylcholine	0.9519409537315369
10068	glutamate	0.5166006088256836
10069	gaba	0.8372636437416077
10070	gaba	0.8259948492050171
10071	octopamine	0.5930135846138
10072	octopamine	0.8978239297866821
10073	acetylcholine	0.8231862187385559
10074	glutamate	0.6161682605743408
10075	acetylcholine	0.8893658518791199
10076	acetylcholine	0.9694698452949524
10077	gaba	0.8238808512687683
10078	acetylcholine	0.9422780871391296
10079	glutamate	0.6501702666282654
10080	octopamine	0.8309217691421509
10081	acetylcholine	0.9607883095741272
10082	glutamate	0.5405387878417969
10083	acetylcholine	0.9512037634849548
10084	acetylcholine	0.9575185775756836
10085	gaba	0.879145085811615
10087	acetylcholine	0.7975836396217346
10088	acetylcholine	0.9465499520301819
10089	glutamate	0.7679789066314697
10090	acetylcholine	0.962986946105957
10091	acetylcholine	0.95600426197052
10092	serotonin	0.5509639382362366
10093	gaba	0.8869243860244751
10094	gaba	0.8126804828643799
10096	unclear	0.4593413770198822
10097	gaba	0.8075969815254211
10098	acetylcholine	0.9536140561103821
10099	glutamate	0.6423444747924805
10100	octopamine	0.8676259517669678
10101	gaba	0.8551006317138672
10102	glutamate	0.8137044310569763
10103	acetylcholine	0.9438756108283997
10104	acetylcholine	0.9639165997505188
10105	glutamate	0.8431142568588257
10106	acetylcholine	0.9108685255050659
10107	acetylcholine	0.9305502772331238
10108	gaba	0.8669859766960144
10109	gaba	0.8584632873535156
10110	octopamine	0.876168966293335
10111	acetylcholine	0.9606528282165527
10112	acetylcholine	0.8043886423110962
10113	acetylcholine	0.8983247876167297
10114	glutamate	0.5098379850387573
10115	glutamate	0.568962037563324
10116	acetylcholine	0.9324044585227966
10117	acetylcholine	0.8447762727737427
10118	acetylcholine	0.9590678811073303
10119	glutamate	0.7472587823867798
10120	octopamine	0.7748159766197205
10121	acetylcholine	0.9652479887008667
10122	acetylcholine	0.9440794587135315
10123	serotonin	0.8334932327270508
10124	gaba	0.8700409531593323
10125	glutamate	0.6711108088493347
10126	acetylcholine	0.9601542949676514
10127	glutamate	0.7333952188491821
10128	gaba	0.8644441962242126
10129	glutamate	0.8337476849555969
10130	acetylcholine	0.9654216170310974
10131	gaba	0.8858444690704346
10132	glutamate	0.7081769704818726
10133	gaba	0.5029492378234863
10134	acetylcholine	0.9491739273071289
10135	gaba	0.8576355576515198
10136	gaba	0.8388991951942444
10137	gaba	0.8518273234367371
10138	gaba	0.8114483952522278
10139	acetylcholine	0.961824893951416
10140	acetylcholine	0.7452872395515442
10141	acetylcholine	0.9491392374038696
10142	acetylcholine	0.9432004690170288
10143	glutamate	0.5212021470069885
10144	unclear	0.4638556241989136
10145	gaba	0.8596693873405457
10146	acetylcholine	0.5265188813209534
10147	gaba	0.8252391219139099
10148	gaba	0.8430140614509583
10149	acetylcholine	0.96555495262146
10150	serotonin	0.6170881986618042
10151	gaba	0.8525673747062683
10153	acetylcholine	0.9575721621513367
10155	acetylcholine	0.9508967399597168
10157	gaba	0.8713995814323425
10158	glutamate	0.7130288481712341
10159	unclear	0.45409879088401794
10160	gaba	0.8844531774520874
10161	acetylcholine	0.6875318288803101
10162	acetylcholine	0.808756947517395
10163	acetylcholine	0.9531571269035339
10164	glutamate	0.7505815029144287
10165	acetylcholine	0.8134236335754395
10166	gaba	0.8093910813331604
10167	gaba	0.8563137054443359
10168	octopamine	0.834577202796936
10169	gaba	0.6670837998390198
10170	glutamate	0.7708013653755188
10172	gaba	0.8235737681388855
10173	acetylcholine	0.9614021182060242
10174	gaba	0.8125389814376831
10175	octopamine	0.8158422112464905
10176	acetylcholine	0.9534009695053101
10177	acetylcholine	0.945034384727478
